year,level_1,value,Measurement(Per)
2020,Premium Thai Rice ,13.75,5 Kilogram
2020,Ordinary White Bread,1.74,400 Gram
2020,Vitamin Enriched Bread,1.63,400 Gram
2020,Wholemeal Bread,2.1,400 Gram
2020,Instant Noodles,2.3,5 Packets
2020,"Lean Pork, Chilled",15.32,Kilogram
2020,"Streaky Pork, Chilled",17.19,Kilogram
2020,"Pork Rib Bones, Chilled",18.51,Kilogram
2020,"Beef, Chilled",25.18,Kilogram
2020,"Mutton, Chilled",22.03,Kilogram
2020,"Whole Chicken, Chilled",6.32,Kilogram
2020,"Chicken Wing, Chilled",8.43,Kilogram
2020,"Duck, Chilled",7.17,Kilogram
2020,"Lean Pork, Frozen",4.9,500 Gram
2020,"Pork Rib Bones, Frozen",5.88,500 Gram
2020,Cod Fish,65.63,Kilogram
2020,Gold Banded Scad (Kuning),8.21,Kilogram
2020,Flowery Grouper,13.75,Kilogram
2020,White Pomfret,30.15,Kilogram
2020,Salmon,29.83,Kilogram
2020,Sea Bass,11.7,Kilogram
2020,Sea Bream (Ang Ko Li),9.93,Kilogram
2020,Golden Snapper,18.79,Kilogram
2020,Spanish Mackerel (Batang),12.95,Kilogram
2020,Threadfin (Kurau),60.32,Kilogram
2020,Small Prawns,15.28,Kilogram
2020,Medium Prawns,20.12,Kilogram
2020,Squids,17.72,Kilogram
2020,Fresh Milk,3.33,Litre
2020,Infant Milk Powder,6.16,100 Gram
2020,Cheese,5.77,12 Slices
2020,Hen Eggs,2.4,10
2020,Cooking Oil,6.21,2 Kilogram
2020,Bananas,2.43,Kilogram
2020,Papaya,2.2,Kilogram
2020,Watermelon,1.59,Kilogram
2020,Grapes,11.18,Kilogram
2020,Orange,0.59,Each
2020,Apple,0.43,Each
2020,Pear,1.28,Each
2020,Broccoli,5.7,Kilogram
2020,Cabbage,2.34,Kilogram
2020,Chinese Kale (Kailan),5.19,Kilogram
2020,Small Mustard (Chye Sim),3.98,Kilogram
2020,Spinach (Bayam),3.57,Kilogram
2020,Tomatoes,2.63,Kilogram
2020,Potatoes,2.41,Kilogram
2020,Carrots,2.03,Kilogram
2020,White Sugar,3.08,2 Kilogram
2020,Instant Coffee,10.19,200 Gram
2020,Aerated Soft Drinks,2.91,4 Cans
2020,Non-aerated Soft Drinks,2.56,6 Packets
2020,Beer,15.61,6 Cans
2020,Coffee/tea Without Milk,1.07,Cup
2020,Coffee/tea With Milk,1.17,Cup
2020,Fishball Noodle,3.5,Bowl
2020,Mee Rebus,3.3,Bowl
2020,Chicken Rice,3.47,Plate
2020,Chicken Nasi Briyani,5.65,Plate
2020,Economical Rice (1 Meat & 2 Vegetables),3.37,Per Plate
2020,Roti Prata (Plain),1.11,Piece
2020,Fried Carrot Cake,3.09,Plate
2020,Ice Kachang,2.07,Bowl
